model,term,coef,se,pval,ci_lower,ci_upper
m1_deaths,shock_50bp_lag1,7.564791290776832,14.500252743189481,0.6022513025748899,-20.85570408587455,35.98528666742821
m1_deaths,shock_50bp_lag2,23.1227898854334,14.614727995748789,0.114633475200287,-5.522076986234225,51.76765675710102
m1_deaths,time_trend,3.644268249922748,0.3984760369260169,8.088071213400146e-18,2.863255217547755,4.425281282297741
m2_deaths,shock_50bp_lag1,18.775760075861218,15.427673384250586,0.2246111921251585,-11.462479757269929,49.01399990899236
m2_deaths,shock_50bp_lag2,27.07558367597352,15.13563145511511,0.07470618924676205,-2.5902539760520966,56.741421327999134
m2_deaths,time_trend,4.429904499849236,0.4335007548270244,4.5224441130703524e-21,3.5802430203882682,5.279565979310204
m2_deaths,unemp_q,11.57953037953125,2.8724566756066805,7.139244147393285e-5,5.949515295342156,17.209545463720342
m1_hosp,shock_50bp_lag1,-1.039518821854329,8.624294033125729,0.9041437825636611,-17.943135126780756,15.864097483072097
m1_hosp,shock_50bp_lag2,4.836533215029248,8.546368924929057,0.57188800948858165,-11.914349877831704,21.5874163078902
m1_hosp,time_trend,0.8859801257180987,0.2385631602989104,2.4482630705935783e-4,0.4183963315322343,1.353563919903963
m2_hosp,shock_50bp_lag1,1.4100173607389312,9.86650762747351,0.8864745377916108,-17.928337589109148,20.74837231058701
m2_hosp,shock_50bp_lag2,6.898373792116619,9.633045715699838,0.47457528056318465,-11.982395810655063,25.7791433948883
m2_hosp,time_trend,1.116519274079166,0.27541226972695504,6.692310181922045e-5,0.5767112254143342,1.6563273227439979
m2_hosp,unemp_q,2.83864807946067,1.8284350975594028,0.1217824918308651,-0.7450847117557595,6.4223808706771
